track,mode,side,entry_price,exit_price,margin_roe,dollar_pnl,result_code,leverage
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,1575.219970703125,1570.5516330870892,0.026370762189739678,57.86867858904535,1,10.28657341003418
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,1573.1400146484375,1580.4166721074446,-0.06069628056782354,-138.24811154384318,-1,11.3971586227417
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,1592.0,1587.210878610774,0.02861203323769496,60.48119190822168,1,10.969853401184082
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,1764.93994140625,1758.2841757145613,0.03743131334269427,91.70275902319125,1,11.103589057922363
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,1755.8199462890625,1750.1481923151648,0.03162256536038722,65.99405874426365,1,11.173027038574219
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,1728.8499755859375,1724.0774997984872,0.026611344958645533,70.23966273384194,1,11.273645401000977
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,1788.5400390625,1796.8130427969356,-0.05611321578293803,-140.64366059011743,-1,10.536580085754395
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,1794.4000244140625,1802.700133876991,-0.05120111755978917,-129.8391777248394,-1,9.614217758178711
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,LONG,1928.3199462890625,1919.4025512174455,-0.05531933841919812,-127.56533991798564,-1,10.389705657958984
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,LONG,1821.1199951171875,1830.260009765625,0.04886950842024238,103.46524168551454,0,11.864706039428711
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,1879.1800537109375,1872.5716982677654,0.03424990179332214,72.0892083341329,1,10.989450454711914
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,1895.56005859375,1904.3280901172789,-0.05801514942490944,-135.82761213869694,-1,10.893712997436523
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,1837.22998046875,1845.7282025702818,-0.0567972711460582,-118.36868963993577,-1,10.665027618408203
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,2420.7900390625,2408.8773637775084,0.04868707811193422,109.56842260564395,1,10.769126892089844
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,LONG,2455.639892578125,2444.2839393723907,-0.05880046586912889,-133.12002252041287,-1,11.04350757598877
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,2473.389892578125,2460.681041498411,0.050613749731894524,111.5128455929524,1,10.681990623474121
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,2454.889892578125,2467.669921875,-0.06264728480543869,-151.566265682621,0,10.260042190551758
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,2407.429931640625,2396.709181237248,0.044326766942008065,96.50916229312894,1,10.936258316040039
