trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
47,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-10-05 01:05:00+00:00,143.4031,143.3122,0.3057,2024-10-05 01:05:00+00:00,143.58,2024-10-05 01:20:00+00:00,143.6,0.0269,0.0,2024-10-05 01:25:00+00:00,143.6618,64.239616,9228.78,143.2511,143.2511,0,2024-10-05 01:30:00+00:00,142.9053,STOP_LOSS,1,-48.6,7.383,7.3441,18.3847,-63.32,-2.4
48,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-10-15 01:40:00+00:00,2628.7802,2626.467,4.8253,2024-10-15 01:40:00+00:00,2629.21,2024-10-15 01:45:00+00:00,2632.19,0.2198,0.0,2024-10-15 01:50:00+00:00,2633.5061,3.480565,9166.09,2625.5019,2625.5019,0,2024-10-15 02:05:00+00:00,2621.5637,STOP_LOSS,3,-41.57,7.3329,7.2996,18.2698,-56.2,-2.017
49,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-10-16 16:50:00+00:00,67749.4165,67680.7026,167.3761,2024-10-16 16:50:00+00:00,67809.99,2024-10-16 16:55:00+00:00,67823.88,13.1635,0.0,2024-10-16 17:00:00+00:00,67857.7919,0.134258,9110.45,67647.2274,67865.8082,5,2024-10-16 18:35:00+00:00,67764.0095,TRAILING_STOP,19,-12.59,7.2884,7.2783,18.202,-27.16,-0.961
50,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-10-18 14:10:00+00:00,67924.2909,67863.6586,213.9514,2024-10-18 14:10:00+00:00,68070.0,2024-10-18 14:15:00+00:00,68224.93,11.8891,0.0,2024-10-18 14:20:00+00:00,68259.0325,0.104702,7146.85,67820.8683,68568.1836,7,2024-10-18 16:05:00+00:00,68465.3313,TRAILING_STOP,21,21.6,5.7175,5.7348,14.3261,10.15,0.221
51,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-10-29 09:10:00+00:00,180.656,180.5166,0.3682,2024-10-29 09:10:00+00:00,181.17,2024-10-29 09:50:00+00:00,180.94,0.014,0.0,2024-10-29 09:55:00+00:00,181.0405,50.229719,9093.61,180.443,180.443,0,2024-10-29 11:30:00+00:00,180.1723,STOP_LOSS,19,-43.61,7.2749,7.24,18.1218,-58.12,-1.937
52,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-11-06 18:30:00+00:00,186.0802,185.9622,0.5837,2024-11-06 18:30:00+00:00,186.46,2024-11-06 18:35:00+00:00,186.41,0.0298,0.0,2024-11-06 18:40:00+00:00,186.5132,48.447348,9036.07,185.8455,186.7462,4,2024-11-06 19:30:00+00:00,186.466,TRAILING_STOP,10,-2.29,7.2289,7.227,18.0687,-16.74,-0.517
53,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-11-10 15:35:00+00:00,3199.7112,3194.962,9.7526,2024-11-10 15:35:00+00:00,3204.96,2024-11-10 15:50:00+00:00,3203.6,0.8888,0.0,2024-11-10 15:55:00+00:00,3205.2018,2.814018,9019.5,3193.0115,3193.0115,0,2024-11-10 16:15:00+00:00,3188.222,STOP_LOSS,4,-47.78,7.2156,7.1774,17.9673,-62.17,-1.812
54,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-11-12 01:40:00+00:00,219.9256,219.488,1.3687,2024-11-12 01:40:00+00:00,220.8,2024-11-12 01:45:00+00:00,220.02,0.0744,0.0,2024-11-12 01:50:00+00:00,220.13,40.693879,8957.94,219.2143,219.2143,0,2024-11-12 01:55:00+00:00,218.8854,STOP_LOSS,1,-50.65,7.1664,7.1258,17.8399,-64.94,-1.743
55,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-11-12 06:45:00+00:00,650.0024,649.54,3.0745,2024-11-12 06:45:00+00:00,651.58,2024-11-12 06:50:00+00:00,651.39,0.0876,0.0,2024-11-12 06:55:00+00:00,651.7157,13.646526,8893.66,648.9251,648.9251,0,2024-11-12 07:00:00+00:00,647.9517,STOP_LOSS,1,-51.37,7.1149,7.0738,17.7103,-65.55,-1.721
56,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-11-14 02:35:00+00:00,617.2034,616.5935,2.3921,2024-11-14 02:35:00+00:00,618.67,2024-11-14 02:40:00+00:00,619.28,0.1166,0.0,2024-11-14 02:45:00+00:00,619.6096,12.759697,7906.03,616.1151,618.6519,1,2024-11-14 03:05:00+00:00,617.7239,TRAILING_STOP,4,-24.06,6.3248,6.3056,15.776,-36.69,-0.823
