date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover
2025-07-30,194.530,195.460,196.530,193.615,32445405,6371744512.000,1.50,0.40,0.780,0.56
2025-07-31,194.640,190.830,194.920,190.020,51329163,9885091072.000,2.51,-2.37,-4.630,0.88
2025-08-01,187.955,188.060,189.760,186.750,34832181,6583403776.000,1.58,-1.45,-2.770,0.60
2025-08-04,189.220,193.970,194.200,189.050,31547350,6118144768.000,2.74,3.14,5.910,0.54
2025-08-05,193.640,193.600,196.790,192.815,31602340,6175574784.000,2.05,-0.19,-0.370,0.54
2025-08-06,193.430,195.020,195.560,192.600,21562908,4216679776.000,1.53,0.73,1.420,0.37
2025-08-07,195.990,195.450,196.470,193.260,26321811,5163774464.000,1.65,0.22,0.430,0.45
2025-08-08,196.150,200.350,201.540,196.100,39161826,7867510528.000,2.78,2.51,4.900,0.67
2025-08-11,199.865,199.930,200.405,198.000,25832435,5183400448.000,1.20,-0.21,-0.420,0.44
2025-08-12,200.295,202.270,203.430,199.520,30424452,6176427776.000,1.96,1.17,2.340,0.52
2025-08-13,203.060,200.890,203.460,196.440,28342922,5726818048.000,3.47,-0.68,-1.380,0.49
2025-08-14,200.430,201.870,203.370,200.155,25230427,5123842048.000,1.60,0.49,0.980,0.43
2025-08-15,202.780,202.830,205.370,200.210,34931422,7155685120.000,2.56,0.48,0.960,0.60
2025-08-18,203.130,202.430,204.195,201.420,18526594,3771549472.000,1.37,-0.20,-0.400,0.32
2025-08-19,201.960,200.500,202.370,198.890,24240233,4876929792.000,1.72,-0.95,-1.930,0.42
2025-08-20,199.660,198.250,200.210,195.525,28955498,5762141184.000,2.34,-1.12,-2.250,0.50
2025-08-21,198.675,198.680,201.410,198.360,19774633,3958867072.000,1.54,0.22,0.430,0.34
2025-08-22,201.660,205.020,207.470,200.230,42827040,8795785216.000,3.64,3.19,6.340,0.74
2025-08-25,205.360,207.420,209.450,204.210,29928878,6245348352.000,2.56,1.17,2.400,0.51
2025-08-26,206.440,206.070,206.780,204.630,28464130,5889047296.000,1.04,-0.65,-1.350,0.49
2025-08-27,204.630,206.410,207.840,204.580,23022850,4778519552.000,1.58,0.16,0.340,0.40
2025-08-28,206.180,210.570,211.150,205.830,32339307,6820776448.000,2.58,2.02,4.160,0.56
2025-08-29,209.440,211.840,213.575,209.130,39728364,8442111488.000,2.11,0.60,1.270,0.68
2025-09-02,207.370,210.280,210.605,205.125,47523037,10095039744.000,2.59,-0.74,-1.560,0.82
2025-09-03,225.140,229.590,230.240,223.720,103336125,23578461440.000,3.10,9.18,19.310,1.78
2025-09-04,228.580,231.230,231.300,225.040,51684167,11873779456.000,2.73,0.71,1.640,0.89
